Raw model,Model,,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,Type
"28: {model: 'phi-2', runs: 2700}",phi-2,,15.45,27.39,28.04,2.42,2.91,13.84,18.09,🟢 pretrained
"29: {model: 'replit-code-v1-3b', runs: 1900}",replit-code-v1-3b,,,,,,,,,
"30: {model: 'gemma-2b', runs: 588}",gemma-2b,,7.27,20.38,8.25,2.72,0.67,7.56,4.06,🟢 pretrained
"31: {model: 'qwen1.5-14b', runs: 281}",qwen1.5-14b,,20.22,29.05,30.06,16.47,5.93,10.46,29.37,🟢 pretrained
"32: {model: 'mamba-2.8b', runs: 216}",mamba-2.8b,,,,,,,,,
"33: {model: 'phixtral-2x2_​8', runs: 197}",phixtral-2x2_​8,,,,,,,,,
"34: {model: 'qwen1.5-7b', runs: 109}",qwen1.5-7b,,15.22,26.84,23.08,4.46,6.49,9.16,21.29,🟢 pretrained
"35: {model: 'mamba-130m', runs: 101}",mamba-130m,,,,,,,,,
"36: {model: 'olmo-7b', runs: 74}",olmo-7b,,,,,,,,,
"37: {model: 'mamba-1.4b', runs: 45}",mamba-1.4b,,,,,,,,,
"38: {model: 'mamba-2.8b-slimpj', runs: 45}",mamba-2.8b-slimpj,,,,,,,,,
"39: {model: 'mamba-370m', runs: 33}",mamba-370m,,,,,,,,,
"40: {model: 'mamba-790m', runs: 27}",mamba-790m,,,,,,,,,
